id,parco,nome,superficie,provvedimento,comuni,elencoufficiale,altreinformazioni,indirizzo,gestore,provincie,email
1,Dolomiti di Brenta (IT3120177),Zona Speciale di Conservazione Dolomiti di Brenta,"31132.00",null,"Andalo, Bocenago, Campodenno, Cavedago, Cles, Comano Terme, Contà, Denno, Dimaro Folgarida, Giustino, Massimeno, Molveno, Pinzolo, San Lorenzo Dorsino, Spormaggiore, Sporminore, Stenico, Tre Ville, Ville d'Anaunia",null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
2,Tre Cime del Bondone (IT3120015),Zona Speciale di Conservazione Tre Cime del Bondone,223,null,Trento,null,www.parks.it/IT3120015,"c/o Servizio Urbanistica e Ambiente del Comune di Trento. Via Belenzani, 18 - 38122 Trento (TN)",Rete di Riserve Bondone,TN,reteriserve_bondone@comune.trento.it
3,Biotopo Rasner Möser (IT3110019),Zona Speciale di Conservazione e Zona di Protezione Speciale Biotopo Rasner Möser,25,null,Rasun Anterselva,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
4,Biotopo Castelfeder,Biotopo Castelfeder,"108.24",DPGP 1005 29/03/2004,"Montagna, Ora",EUAP0569,www.parks.it/riserva.castelfeder,"Palazzo 11, Via Renon 4 - 39100 Bolzano (BZ)","Provincia Autonoma di Bolzano - Alto Adige - Dipartimento all'urbanistica, ambiente ed energia - Ufficio parchi naturali",BZ,parchi.naturali.bolzano@provincia.bz.it
5,Schwarze Lacke,VR - Biotopo Schwarze Lacke,"0.55",DPGP 364/28/1 9/07/1997,Renon,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
6,Prati dell'Armentara (IT3110048),Zona Speciale di Conservazione e Zona di Protezione Speciale Prati dell'Armentara,342,null,"Badia, La Valle",null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
7,Rosswagenmoor,VR - Biotopo Rosswagenmoor,"3.72",DPGP 364 9/07/1997,Renon,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
8,Torbiere di Monte Sous (IT3120058),Zona Speciale di Conservazione Torbiere di Monte Sous,99,null,"Brez, Castelfondo",null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
9,Inghiaie,Biotopo Inghiaie,32,DGP 16948 30/11/1992,Levico Terme,EUAP0476,www.parks.it/biotopo.inghiaie,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
10,Palu' Tremole (IT3120057),Zona Speciale di Conservazione Palu' Tremole,4,null,Brez,null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
11,Biotopo Wiesermoos (IT3110016),Zona Speciale di Conservazione e Zona di Protezione Speciale Biotopo Wiesermoos,16,null,Predoi,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
12,Ahrau di Stegona - Stegener Ahrau,VR - Biotopo Ahrau di Stegona - Stegener Ahrau,"20.71",DPGP 387 9/02/2004,Brunico,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
13,Lago (Val di Fiemme) (IT3120118),Zona Speciale di Conservazione Lago (Val di Fiemme),"11.97",null,"Panchià, Tésero",null,www.parks.it/IT3120118,"c/o Comunità Territoriale della Val di Fiemme (soggetto responsabile) - Via Alberti, 4 - 38033 Cavalese (TN)",Rete di Riserve Fiemme-Destra Avisio,TN,info@comunitavaldifiemme.tn.it
14,Laghi e abisso di Lamar (IT3120087),Zona Speciale di Conservazione Laghi e abisso di Lamar,25,null,Vallelaghi,null,www.parks.it/IT3120087,"c/o Servizio Urbanistica e Ambiente del Comune di Trento. Via Belenzani, 18 - 38122 Trento (TN)",Rete di Riserve Bondone,TN,reteriserve_bondone@comune.trento.it
15,Loecher,VR - Biotopo Loecher,"3.94",DPGP379/28/1 7/07/1998,Ora,null,null,"via C. Battisti, 21 - 39100 Bolzano (BZ)",Provincia Autonoma di Bolzano - Alto Adige - Ripartizione Natura e Paesaggio - Ufficio ecologia del paesaggio,BZ,ecologia.paesaggio@provincia.bz.it
16,Monte Ghello (IT3120149),Zona Speciale di Conservazione Monte Ghello,148,null,Rovereto,null,null,"via Guardini, 75 - 38121 Trento (TN)",Provincia Autonoma di Trento - Servizio Conservazione della Natura e Valorizzazione Ambientale,TN,reteareeprotette@provincia.tn.it
17,Torbiera Lomasona ( IT3120069),Zona Speciale di Conservazione Torbiera Lomasona,"25.96",null,Comano Terme,null,www.parks.it/IT3120069,Viale Dante 46 - 38079 Tione di Trento (TN),Consorzio dei Comuni del B.I.M. Sarca-Mincio-Garda (Ente capofila),TN,reteriserve@bimsarca.tn.it
